Date,AAPL,AMZN,GOOG,META,MSFT
2012-09-21,21.2298,12.8735,18.26045,22.81312,25.19249
2012-09-24,20.94778,12.74,18.64333,20.74737,24.86133
2012-09-25,20.42468,12.623,18.63785,20.23841,24.54632
2012-09-26,20.17117,12.4835,18.74483,20.57771,24.36863
2012-09-27,20.6606,12.8295,18.82046,20.27833,24.36055
2012-09-28,20.2294,12.716,18.7707,21.61558,24.03746
2012-10-01,19.99559,12.6005,18.95182,21.9449,23.81938
2012-10-02,20.05381,12.53,18.83265,22.22433,23.95669
2012-10-03,20.3613,12.796,18.96973,21.78523,24.11824
2012-10-04,20.2203,13.0235,19.1078,21.90499,24.25555
2012-10-05,19.78939,12.9255,19.09785,20.86712,24.11016
2012-10-08,19.35211,12.953,18.8538,20.35817,24.05362
2012-10-09,19.28176,12.548,18.51172,20.18851,23.64977
2012-10-10,19.4352,12.2495,18.52341,19.59972,23.40745
2012-10-11,19.04675,12.211,18.69557,19.7095,23.38322
2012-10-12,19.09556,12.118,18.52814,19.47997,23.58514
2012-10-15,19.2487,12.209,18.43435,19.47997,23.83554
2012-10-16,19.70449,12.197,18.5269,19.44005,23.81938
2012-10-17,19.5474,12.3745,18.79533,19.83923,23.90015
2012-10-18,19.18441,12.2425,17.29044,18.94108,23.82746
2012-10-19,18.49302,12.0,16.9618,18.96104,23.13283
2012-10-22,19.22657,11.689,16.88418,19.28038,22.6159
2012-10-23,18.59976,11.7155,16.92597,19.46001,22.65628
2012-10-24,18.70499,11.4245,16.8501,23.18236,22.53512
2012-10-25,18.48392,11.146,16.86154,22.51374,22.51897
2012-10-26,18.31593,11.912,16.79661,21.89501,22.78551
2012-10-31,18.05271,11.6445,16.92473,21.06671,23.05206
2012-11-01,18.0897,11.607,17.10609,21.1665,23.8436
2012-11-02,17.4911,11.621,17.1143,21.13657,23.82746
2012-11-05,17.72824,11.7165,16.99091,21.20642,23.93246
2012-11-06,17.67457,11.878,16.96006,21.12659,24.11824
2012-11-07,16.9983,11.603,16.59683,20.42802,23.48822
2012-11-08,16.38142,11.3675,16.22789,19.94901,23.27014
2012-11-09,16.66502,11.3155,16.49508,19.1706,23.28629
2012-11-12,16.53616,11.3235,16.56648,20.02884,22.79358
